Date,Signal,FX_name,Period,Foreign_IR,Domestic_IR,FX_Rate,Equity,Asset Pos,Unreal_Return,Real_Return,Drawdown
2009-01-02,0.0004846486957466034,GBP,2M,0.02505,0.0075625,133.563,10000,20000.0,0.0014586954828660435,0,0
2009-01-05,0.0004846486957466034,GBP,2M,0.02445,0.0073875,137.34799999999998,10000,20000.0,0.05916818551401854,0,0
2009-01-06,0.0004846486957466034,GBP,2M,0.024087499999999998,0.0071875,139.69,10000,20000.0,0.09465906775700927,0,0
2009-01-07,0.0004846486957466034,GBP,2M,0.023675,0.0070750000000000006,139.85,10000,20000.0,0.0966360221183802,0,0
2009-01-08,0.0004846486957466034,GBP,2M,0.0230375,0.0069375,138.773,10000,20000.0,0.08052559548286616,0,0
2009-01-09,0.0004846486957466034,GBP,2M,0.0217875,0.0068000000000000005,137.09,10000,20000.0,0.05332797461059205,0,0
2009-01-12,0.0004846486957466034,GBP,2M,0.021425,0.006725,132.24,10000,20000.0,-0.01753963333333323,0,0
2009-01-13,0.0004846486957466034,GBP,2M,0.021075,0.00655,129.605,10000,20000.0,-0.057841292834890964,0,0
2009-01-14,0.0004846486957466034,GBP,2M,0.0208875,0.0063375,130.13299999999998,10000,20000.0,-0.04916330046728954,0,0
2009-01-15,0.0004846486957466034,GBP,2M,0.0207875,0.0061625,131.535,10000,20000.0,-0.02935984968847343,0,0
2009-01-16,0.0004846486957466034,GBP,2M,0.020675,0.006,133.625,10000,20000.0,-0.00041034828660417404,0,0
2009-01-19,0.0004846486957466034,GBP,2M,0.020487500000000002,0.0059499999999999996,130.705,10000,20000.0,-0.040976010280373905,0,0
2009-01-20,0.0004846486957466034,GBP,2M,0.020412499999999997,0.0058375,125.015,10000,20000.0,-0.12620521105919,0,0
2009-01-21,0.0004846486957466034,GBP,2M,0.0202125,0.005809999999999999,124.88,10000,20000.0,-0.12806334548286608,0,0
2009-01-22,0.0004846486957466034,GBP,2M,0.020075,0.005728800000000001,123.385,10000,20000.0,-0.151347707165109,0,0
2009-01-23,0.0004846486957466034,GBP,2M,0.019950000000000002,0.0056925000000000005,122.415,10000,20000.0,-0.1672832322429907,0,0
2009-01-26,0.0004846486957466034,GBP,2M,0.0198563,0.0056188,124.675,10000,20000.0,-0.1318929829183801,0,0
2009-01-27,0.0004846486957466034,GBP,2M,0.0197938,0.0055688000000000005,125.715,10000,20000.0,-0.1163763621507789,0,0
2009-01-28,0.0004846486957466034,GBP,2M,0.019775,0.0055249999999999995,128.615,10000,20000.0,-0.07429278224299085,0,0
2009-01-29,0.0004846486957466034,GBP,2M,0.019775,0.0060875,128.743,10000,20000.0,-0.07048586806853573,0,0
2009-01-30,0.0004846486957466034,GBP,2M,0.019775,0.00625,130.73,10000,20000.0,-0.04253318722741451,0,0
2009-02-02,0.0004846486957466034,GBP,2M,0.0197313,0.006243800000000001,127.595,10000,20000.0,-0.08777874501183798,0,0
2009-02-03,0.0004846486957466034,GBP,2M,0.019737499999999998,0.006212499999999999,129.32299999999998,10000,20000.0,-0.06166727554517118,0,0
2009-02-04,0.0004846486957466034,GBP,2M,0.0197,0.006181300000000001,129.4,10000,20000.0,-0.0603239437694702,0,0
2009-02-05,0.0004846486957466034,GBP,2M,0.0195875,0.006137500000000001,133.27,10000,20000.0,-0.002744897975078051,0,0
2009-02-06,0.0004846486957466034,GBP,2M,0.01915,0.0060875,135.87,10000,20000.0,0.03522073380062319,0,0
2009-02-09,0.0004846486957466034,GBP,2M,0.0190438,0.005975,136.135,10000,20000.0,0.03850371818816211,0,0
2009-02-10,0.0004846486957466034,GBP,2M,0.018975,0.0059499999999999996,131.575,10000,20000.0,-0.02841792834890966,0,0
2009-02-11,0.0004846486957466034,GBP,2M,0.0188375,0.0059499999999999996,130.13,10000,20000.0,-0.04976330031152629,0,0
2009-02-12,0.0004846486957466034,GBP,2M,0.018675,0.0059499999999999996,129.75799999999998,10000,20000.0,-0.05551590965732104,0,0
2009-02-13,0.0004846486957466034,GBP,2M,0.018675,0.0058875,131.888,10000,20000.0,-0.024680877102803808,0,0
2009-02-16,0.0004846486957466034,GBP,2M,0.018625,0.005849999999999999,131.155,10000,20000.0,-0.034515841121495416,0,0
2009-02-17,0.0004846486957466034,GBP,2M,0.0186875,0.005849999999999999,131.595,10000,20000.0,-0.027745490654205434,0,0
2009-02-18,0.0004846486957466034,GBP,2M,0.018725000000000002,0.005849999999999999,133.28,10000,20000.0,-0.0031332984423676335,0,0
2009-02-19,0.0004846486957466034,GBP,2M,0.018768800000000002,0.0058625000000000005,134.648,10000,20000.0,0.017579221753270927,0,0
2009-02-20,0.0004846486957466034,GBP,2M,0.0187313,0.0058638,134.711,10000,20000.0,0.016711431107539018,0,0
2009-02-23,0.0004846486957466034,GBP,2M,0.0187563,0.0058438,137.075,10000,20000.0,0.05425318459688453,0,0
2009-02-24,0.0004846486957466034,GBP,2M,0.0187313,0.0058563,139.94799999999998,10000,20000.0,0.09736743051588766,0,0
2009-02-25,0.0004846486957466034,GBP,2M,0.0186625,0.005875,138.3,10000,20000.0,0.07229069190031151,0,0
2009-02-26,0.0004846486957466034,GBP,2M,0.0185688,0.0058438,141.05,10000,20000.0,0.11396235931464174,0,0
2009-02-27,0.0004846486957466034,GBP,2M,0.0184625,0.005825,139.635,10000,20000.0,0.09052925638629282,0,0
2009-03-02,0.0004846486957466034,GBP,2M,0.0183125,0.005812500000000001,137.0,10000,20000.0,0.05193201479750786,0,0
2009-03-03,0.0004846486957466034,GBP,2M,0.0182188,0.0058062999999999995,137.92,10661.498285445481,20000.0,0,0.0661498285445481,0.0661498285445481
2009-03-04,0.000996167197195641,GBP,2M,0.0181,0.005768800000000001,140.74,10661.498285445481,21322.996570890962,0.003362179166666603,0.0661498285445481,0.0661498285445481
2009-03-05,0.000996167197195641,GBP,2M,0.017925,0.005768800000000001,138.44,10661.498285445481,21322.996570890962,-0.030034041240530412,0.0661498285445481,0.0661498285445481
2009-03-06,0.000996167197195641,GBP,2M,0.0173625,0.0057711,138.493,10661.498285445481,21322.996570890962,-0.030646018146306943,0.0661498285445481,0.0661498285445481
2009-03-09,0.000996167197195641,GBP,2M,0.0172125,0.0057563,136.175,10661.498285445481,21322.996570890962,-0.06217476863162901,0.0661498285445481,0.0661498285445481
2009-03-10,0.000996167197195641,GBP,2M,0.0170875,0.00575,135.67600000000002,10661.498285445481,21322.996570890962,-0.069080083866004,0.0661498285445481,0.0661498285445481
2009-03-11,0.000996167197195641,GBP,2M,0.0169375,0.005725,134.963,10661.498285445481,21322.996570890962,-0.07920928474195095,0.0661498285445481,0.0661498285445481
2009-03-12,0.000996167197195641,GBP,2M,0.01675,0.0056875,136.225,10661.498285445481,21322.996570890962,-0.0616001124526516,0.0661498285445481,0.0661498285445481
2009-03-13,0.000996167197195641,GBP,2M,0.016606299999999997,0.005675,137.183,10661.498285445481,21322.996570890962,-0.048753654245975435,0.0661498285445481,0.0661498285445481
2009-03-16,0.000996167197195641,GBP,2M,0.0164563,0.0056625,138.079,10661.498285445481,21322.996570890962,-0.03522618122537922,0.0661498285445481,0.0661498285445481
2009-03-17,0.000996167197195641,GBP,2M,0.016274999999999998,0.0056625,138.411,10661.498285445481,21322.996570890962,-0.030912792080966096,0.0661498285445481,0.0661498285445481
2009-03-18,0.000996167197195641,GBP,2M,0.016125,0.00565,137.35299999999998,10661.498285445481,21322.996570890962,-0.046840459280303344,0.0661498285445481,0.0661498285445481
2009-03-19,0.000996167197195641,GBP,2M,0.015862499999999998,0.0056125,137.107,10661.498285445481,21322.996570890962,-0.04966819711766107,0.0661498285445481,0.0661498285445481
2009-03-20,0.000996167197195641,GBP,2M,0.0157625,0.0056125,138.765,10661.498285445481,21322.996570890962,-0.027155764973958444,0.0661498285445481,0.0661498285445481
2009-03-23,0.000996167197195641,GBP,2M,0.0156313,0.005606300000000001,141.29,10661.498285445481,21322.996570890962,0.010058119857481142,0.0661498285445481,0.0661498285445481
2009-03-24,0.000996167197195641,GBP,2M,0.0154438,0.005575,143.671,10661.498285445481,21322.996570890962,0.043780563249052905,0.0661498285445481,0.0661498285445481
2009-03-25,0.000996167197195641,GBP,2M,0.015318799999999999,0.0055937999999999995,141.936,10661.498285445481,21322.996570890962,0.019112577985795142,0.0661498285445481,0.0661498285445481
2009-03-26,0.000996167197195641,GBP,2M,0.0152,0.005575,142.672,10661.498285445481,21322.996570890962,0.0297704545454543,0.0661498285445481,0.0661498285445481
2009-03-27,0.000996167197195641,GBP,2M,0.0151,0.00555,140.143,10661.498285445481,21322.996570890962,-0.007255420928030328,0.0661498285445481,0.0661498285445481
2009-03-30,0.000996167197195641,GBP,2M,0.014825,0.0054625,138.773,10661.498285445481,21322.996570890962,-0.025871999289773052,0.0661498285445481,0.0661498285445481
2009-03-31,0.000996167197195641,GBP,2M,0.014775,0.0054125,141.735,10661.498285445481,21322.996570890962,0.01547149408143902,0.0661498285445481,0.0661498285445481
2009-04-01,0.000996167197195641,GBP,2M,0.014499999999999999,0.0053688,142.554,10661.498285445481,21322.996570890962,0.027817123532196862,0.0661498285445481,0.0661498285445481
2009-04-02,0.000996167197195641,GBP,2M,0.014393800000000002,0.005274999999999999,146.54,10661.498285445481,21322.996570890962,0.08422459297348465,0.0661498285445481,0.0661498285445481
2009-04-03,0.000996167197195641,GBP,2M,0.014262500000000001,0.0052125,148.888,10661.498285445481,21322.996570890962,0.11648197881155285,0.0661498285445481,0.0661498285445481
